time,gFx,gFy,gFz,wx,wy,wz,
1.896807,-0.0166,0.1727,1.0088,-0.0098,-0.0735,-0.0533,
1.897998,-0.0166,0.1727,1.0088,-0.0098,-0.0735,-0.0533,
1.954561,-0.0166,0.1727,1.0088,-0.0128,-0.1030,-0.0129,
1.956509,-0.0166,0.1727,1.0088,-0.0128,-0.1030,-0.0129,
1.957430,0.0067,0.1475,1.0673,-0.0128,-0.1030,-0.0129,
2.014083,0.0067,0.1475,1.0673,-0.0128,-0.1030,-0.0129,
2.015263,0.0067,0.1475,1.0673,0.0344,-0.2066,-0.0179,
2.016752,-0.0066,0.1115,1.0349,0.0344,-0.2066,-0.0179,
2.071974,-0.0066,0.1115,1.0349,0.1894,-0.1203,0.1012,
2.073720,-0.0066,0.1115,1.0349,0.1894,-0.1203,0.1012,
2.132616,-0.0066,0.1115,1.0349,0.0606,-0.3149,0.1827,
2.134602,-0.0107,0.0832,1.0278,0.0606,-0.3149,0.1827,
2.135997,-0.0107,0.0832,1.0278,0.0606,-0.3149,0.1827,
2.190387,0.0154,0.0226,1.0912,0.0606,-0.3149,0.1827,
2.191936,0.0154,0.0226,1.0912,0.0091,-0.2664,0.2438,
2.193309,0.0154,0.0226,1.0912,0.0091,-0.2664,0.2438,
2.249311,-0.0291,0.0158,1.0713,0.0091,-0.2664,0.2438,
2.251159,-0.0291,0.0158,1.0713,0.2069,-0.0883,0.2409,
2.253011,-0.0291,0.0158,1.0713,0.2069,-0.0883,0.2409,
2.307318,-0.0291,0.0158,1.0713,0.0461,-0.0555,0.3309,
2.308672,-0.0581,0.0403,0.9641,0.0461,-0.0555,0.3309,
2.309851,-0.0581,0.0403,0.9641,0.0461,-0.0555,0.3309,
2.366794,-0.0532,0.0631,0.9483,0.0461,-0.0555,0.3309,
2.368799,-0.0532,0.0631,0.9483,0.0461,-0.0555,0.3309,
2.426103,-0.0532,0.0631,0.9483,-0.0915,-0.0702,0.3462,
2.427821,-0.0324,0.0609,1.0315,-0.0915,-0.0702,0.3462,
2.429247,-0.0324,0.0609,1.0315,-0.0915,-0.0702,0.3462,
2.485000,-0.0324,0.0609,1.0315,-0.2369,0.0552,0.3935,
2.487058,-0.0324,0.0609,1.0315,-0.2369,0.0552,0.3935,
2.488372,-0.0280,0.0675,1.0111,-0.2369,0.0552,0.3935,
2.542772,-0.0280,0.0675,1.0111,-0.1594,0.0198,0.3981,
2.544728,-0.0280,0.0675,1.0111,-0.1594,0.0198,0.3981,
2.603491,-0.0280,0.0675,1.0111,-0.0411,0.0342,0.4050,
2.604463,-0.0076,0.0802,0.9840,-0.0411,0.0342,0.4050,
2.605212,-0.0076,0.0802,0.9840,-0.0411,0.0342,0.4050,
2.660345,-0.0017,0.1000,0.9724,-0.0411,0.0342,0.4050,
2.661128,-0.0017,0.1000,0.9724,0.0092,0.0102,0.4012,
2.661672,-0.0017,0.1000,0.9724,0.0092,0.0102,0.4012,
2.721067,-0.0017,0.1000,0.9724,0.0264,0.0015,0.3906,
2.721819,-0.0037,0.1141,0.9836,0.0264,0.0015,0.3906,
2.722599,-0.0037,0.1141,0.9836,0.0264,0.0015,0.3906,
2.778427,-0.0037,0.1141,0.9836,0.0282,0.0035,0.3880,
2.779222,0.0027,0.1367,1.0014,0.0282,0.0035,0.3880,
2.779845,0.0027,0.1367,1.0014,0.0282,0.0035,0.3880,
2.837283,-0.0034,0.1435,1.0303,0.0282,0.0035,0.3880,
2.838305,-0.0034,0.1435,1.0303,0.0282,0.0035,0.3880,
2.896370,0.0114,0.1481,1.0501,0.0282,0.0035,0.3880,
2.897190,0.0114,0.1481,1.0501,0.0282,0.0035,0.3880,
2.897629,0.0114,0.1481,1.0501,-0.0073,0.0095,0.4279,
2.954939,0.0114,0.1481,1.0501,0.0568,0.0265,0.4607,
2.955942,-0.0005,0.1485,1.0649,0.0568,0.0265,0.4607,
2.956626,-0.0005,0.1485,1.0649,0.0568,0.0265,0.4607,
3.013072,-0.0005,0.1485,1.0649,0.0849,-0.0105,0.5107,
3.013894,-0.0072,0.0737,1.0880,0.0849,-0.0105,0.5107,
3.014589,-0.0072,0.0737,1.0880,0.0849,-0.0105,0.5107,
3.073013,-0.0072,0.0737,1.0880,0.0440,0.2659,0.5534,
3.074954,-0.0072,0.0737,1.0880,0.0440,0.2659,0.5534,
3.132499,-0.0072,0.0737,1.0880,0.2721,0.1413,0.5734,
3.134205,-0.0346,0.0848,1.0034,0.2721,0.1413,0.5734,
3.135350,-0.0346,0.0848,1.0034,0.2721,0.1413,0.5734,
3.190292,0.0024,0.0605,1.0343,0.2721,0.1413,0.5734,
3.191528,0.0024,0.0605,1.0343,0.0136,0.0662,0.5330,
3.192967,0.0024,0.0605,1.0343,0.0136,0.0662,0.5330,
3.248951,0.0024,0.0605,1.0343,-0.1520,0.0357,0.5015,
3.249820,0.0024,0.0605,1.0343,-0.1520,0.0357,0.5015,
3.250239,0.0106,0.0385,1.0024,-0.1520,0.0357,0.5015,
3.308935,0.0029,0.0239,0.9890,-0.1520,0.0357,0.5015,
3.310516,0.0029,0.0239,0.9890,-0.0737,0.0288,0.5453,
3.312466,0.0029,0.0239,0.9890,-0.0737,0.0288,0.5453,
3.367368,-0.0168,-0.0157,1.0460,-0.0737,0.0288,0.5453,
3.368471,-0.0168,-0.0157,1.0460,-0.0737,0.0288,0.5453,
3.425570,-0.0168,-0.0157,1.0460,-0.1310,0.0788,0.5252,
3.426730,-0.0051,0.0363,1.0403,-0.1310,0.0788,0.5252,
3.427120,-0.0051,0.0363,1.0403,-0.1310,0.0788,0.5252,
3.483850,-0.0051,0.0363,1.0403,0.0896,0.0719,0.5928,
3.484888,-0.0132,0.0483,0.9892,0.0896,0.0719,0.5928,
3.485344,-0.0132,0.0483,0.9892,0.0896,0.0719,0.5928,
3.545086,-0.0375,0.0497,1.0019,0.0896,0.0719,0.5928,
3.547266,-0.0375,0.0497,1.0019,-0.0917,0.1131,0.6557,
3.548823,-0.0375,0.0497,1.0019,-0.0917,0.1131,0.6557,
3.602453,-0.0375,0.0497,1.0019,-0.0917,0.1131,0.6557,
3.603880,-0.0375,0.0497,1.0019,0.0129,0.1665,0.6017,
3.662212,-0.0288,0.0985,0.9892,0.0129,0.1665,0.6017,
3.664104,-0.0288,0.0985,0.9892,0.0129,0.1665,0.6017,
3.665050,-0.0288,0.0985,0.9892,0.0883,0.0971,0.7171,
3.721157,-0.0199,0.0962,1.0170,0.0883,0.0971,0.7171,
3.723054,-0.0199,0.0962,1.0170,-0.0383,0.0838,0.7492,
3.724621,-0.0199,0.0962,1.0170,-0.0383,0.0838,0.7492,
3.780506,0.0030,0.1365,1.0197,-0.0383,0.0838,0.7492,
3.782523,0.0030,0.1365,1.0197,-0.0383,0.0838,0.7492,
3.783592,0.0030,0.1365,1.0197,0.1252,0.0832,0.6992,
3.839823,0.0209,0.1670,1.0194,0.1252,0.0832,0.6992,
3.842135,0.0209,0.1670,1.0194,0.1252,0.0832,0.6992,
3.843113,0.0209,0.1670,1.0194,-0.0693,0.0604,0.6577,
3.896967,0.0072,0.1690,1.0416,-0.0693,0.0604,0.6577,
3.898913,0.0072,0.1690,1.0416,-0.0693,0.0604,0.6577,
3.956916,0.0072,0.1690,1.0416,0.2221,0.1447,0.6356,
3.959042,-0.0443,0.0922,1.0816,0.2221,0.1447,0.6356,
3.960677,-0.0443,0.0922,1.0816,0.2221,0.1447,0.6356,
4.015301,-0.0443,0.0922,1.0816,0.1610,0.0716,0.6611,
4.017272,-0.0578,0.0693,1.0318,0.1610,0.0716,0.6611,
4.018679,-0.0578,0.0693,1.0318,0.1610,0.0716,0.6611,
4.074130,-0.0578,0.0693,1.0318,0.1365,0.1696,0.7536,
4.075098,-0.0578,0.0693,1.0318,0.1365,0.1696,0.7536,
4.133601,-0.0578,0.0693,1.0318,0.0827,0.0989,0.8807,
4.135810,-0.0766,0.0490,1.0224,0.0827,0.0989,0.8807,
4.137353,-0.0766,0.0490,1.0224,0.0827,0.0989,0.8807,
4.192397,-0.0407,0.0191,1.0084,0.0827,0.0989,0.8807,
