,precision,recall,f1-score,support,Mean_average_percision
0,0.16216216216216217,0.410958904109589,0.23255813953488372,73.0,0.1497858166694641
1,0.7028753993610224,0.5994550408719346,0.6470588235294118,367.0,0.7424473166465759
2,0.8724137931034482,0.863481228668942,0.8679245283018867,293.0,0.9523867964744568
3,0.5451263537906137,0.6651982378854625,0.5992063492063492,227.0,0.6063892245292664
4,0.9020979020979021,0.5201612903225806,0.659846547314578,248.0,0.827860951423645
accuracy,0.6481788079470199,0.6481788079470199,0.6481788079470199,0.6481788079470199,-1.0
macro avg,0.6369351221030297,0.6118509403717016,0.6013188775774219,1208.0,-1.0
weighted avg,0.7225780735210202,0.6481788079470199,0.6692144074649421,1208.0,0.6557739973068237
